frame,vehicle_id,front_axle_center_x,front_axle_center_y,rear_axle_center_x,rear_axle_center_y
DJI_0010_MP4-0001,12,1132.4225000000001,614.986,1107.9775,601.2745
DJI_0010_MP4-0001,6,1364.4595,405.2435,1356.4965,363.4275
DJI_0010_MP4-0001,5,1905.0,1266.5839999999998,1918.75,1289.4279999999999
DJI_0010_MP4-0001,7,1373.0304999999998,445.60749999999996,1373.0304999999998,424.919
DJI_0010_MP4-0001,10,1151.429,727.7825,1178.5715,721.749
DJI_0010_MP4-0001,8,1382.857,531.6034999999999,1377.3805,509.3675
DJI_0010_MP4-0001,4,1353.095,252.04399999999998,1352.143,225.839
DJI_0010_MP4-0001,13,1241.1905,868.6965,1240.9524999999999,868.6959999999999
DJI_0010_MP4-0001,11,958.6275,633.386,984.3135,649.473
DJI_0010_MP4-0001,9,1378.0235,780.933,1378.6115,738.4390000000001
DJI_0010_MP4-0030,12,1278.1365,692.648,1253.6915,678.9365
DJI_0010_MP4-0030,5,1560.606,961.173,1584.2424999999998,976.3325
DJI_0010_MP4-0030,11,8.3245,134.93,34.0105,151.017
DJI_0010_MP4-0030,9,1377.4675,1496.326,1378.0555,1453.8319999999999
DJI_0010_MP4-0030,13,1427.424,992.3879999999999,1422.4245,971.946
DJI_0010_MP4-0030,6,1172.857,756.9815,1210.476,773.0160000000001
DJI_0010_MP4-0030,8,1374.286,1376.843,1374.524,1352.8195
DJI_0010_MP4-0030,7,1220.9524999999999,592.6985,1224.7615,605.4035
DJI_0010_MP4-0030,10,705.0,509.923,731.212,522.578
DJI_0010_MP4-0030,4,1450.0,905.7095,1428.9585,891.1855
